STATION,NAME,DATE,AWND,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/14/2000,9.4,0,,0,1,18,23,13,93,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/15/2000,12.08,0,,0,1,28,38,18,111,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/16/2000,16.78,0,,0,0,32,43,20,126,0,,,,,,,,,,,,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/17/2000,11.41,0,,0,0,17,20,13,454,0,,,,,,,,,,,,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/18/2000,8.5,0.03,,0.8,1,21,25,16,87,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/19/2000,7.61,0.03,,0.6,1,23,27,19,345,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/20/2000,12.75,0.47,,5.9,3,19,25,13,0,0.4,1,,,,,,,,,,1,,,,,1,,,1,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/21/2000,10.96,0.02,,0.6,6,8,14,1,467,0.2,1,,,,,,,1,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/22/2000,8.72,0.03,,0.6,5,8,17,-2,264,0.2,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/23/2000,11.41,0,,0,5,22,29,14,32,0.2,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/24/2000,5.14,0.01,,0.2,4,12,19,4,472,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/25/2000,8.05,0.01,,0.2,4,11,22,-1,392,0.2,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/26/2000,14.99,0.32,,6.5,4,17,21,12,75,0.4,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/27/2000,11.63,0.14,,3.4,12,14,17,10,198,2.3,1,,,,,,,,,,1,,,,,1,,,1,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/28/2000,5.59,0,,0,8,11,24,-3,379,0.5,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/29/2000,6.93,0,,0,8,16,32,-1,489,0.9,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/30/2000,9.4,0.14,,1.4,8,29,35,22,0,0.9,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/31/2000,17,0.01,,0.4,5,25,30,20,0,0.7,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/1/2000,13.2,0.38,,4,6,25,28,21,0,0.6,1,1,,,,,,,,,1,,,,,1,,,1,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/2/2000,9.4,0,,0,7,21,26,16,364,0.8,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/3/2000,10.29,0.15,,2.6,6,30,34,25,0,0.8,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/4/2000,11.86,0.19,,2.1,8,28,33,23,0,1.5,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/5/2000,14.09,0,,0,9,21,29,12,588,1.5,,,,,,,,,,,,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/6/2000,9.4,0,,0,9,21,28,13,409,0.7,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/7/2000,10.51,0,,0,7,28,37,18,131,0.8,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/8/2000,7.16,0,,0,5,17,32,1,614,0.8,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/9/2000,11.86,0,,0,4,37,46,28,368,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/10/2000,6.49,0.25,,0,3,38,46,29,87,0,1,,,,,,,1,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/11/2000,11.18,0.06,,0.2,1,31,42,19,3,0,1,1,,,,1,,,,,1,,1,1,1,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/12/2000,5.59,0,,0,0,22,31,13,592,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/13/2000,7.61,0.05,,0,0,29,35,23,0,0,1,,,,,1,,,,,1,,,1,1,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/14/2000,8.95,0.25,,1.6,2,29,31,26,0,0,1,1,,,,1,,,,,1,,,1,1,1,1,,1,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/15/2000,8.95,0,,0,2,28,40,16,534,0,1,,,,,,,,,,1,,,1,,1,1,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/16/2000,11.41,0.03,,0,0,32,42,21,116,0,1,,,,,,,,,,1,,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/17/2000,8.5,0,,0,0,25,32,18,541,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/18/2000,11.18,0.32,,3,1,31,33,28,0,0.3,1,,,1,,1,,,,,1,,1,1,1,1,1,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/19/2000,11.18,0.02,,0.4,3,27,30,24,0,0.3,1,,,,,1,,,,,1,,1,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/20/2000,11.86,0,,0,2,29,31,27,25,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/21/2000,9.4,0,,0,1,33,43,22,591,0,1,,,,,,,1,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/22/2000,13.65,0,,0,1,48,55,40,350,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/23/2000,11.18,0.01,,0,0,57,66,47,440,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/24/2000,12.08,0.3,,0,0,56,62,50,108,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/25/2000,6.04,0.01,,0,0,60,68,52,243,0,1,,,,,,,1,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/26/2000,13.2,0,,0,0,64,74,54,568,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/27/2000,14.76,0.03,,0,0,52,65,39,186,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/28/2000,9.84,0,,0,0,39,47,30,672,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2/29/2000,9.4,0,,0,0,43,58,27,638,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/1/2000,17.9,0.01,,0,0,49,60,38,150,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/2/2000,13.2,0,,0,0,32,38,26,0,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/3/2000,4.7,0,,0,0,32,43,21,649,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/4/2000,7.83,0,,0,0,38,54,22,593,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/5/2000,6.04,0,,0,0,41,54,28,688,0,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/6/2000,4.7,0,,0,0,44,60,27,691,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/7/2000,12.75,0,,0,0,59,76,42,538,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/8/2000,11.63,0,,0,0,69,79,58,621,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/9/2000,17.45,0.12,,0,0,51,70,31,330,0,1,,,,,,,,,,1,,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/10/2000,6.93,0.01,,0.1,0,31,34,28,15,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/11/2000,15.66,0.35,,3.5,0,31,33,29,10,0,1,,,,,,,,,,1,,,,,1,,,1,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/12/2000,13.87,0.3,,3,6,32,36,27,525,0.4,1,,,,,,,,,,1,,,,,1,,,1,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/13/2000,9.4,0,,0,3,35,44,26,280,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/14/2000,9.84,0,,0,0,44,51,36,347,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/15/2000,11.41,0.01,,0,0,52,65,39,283,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/16/2000,14.99,0.32,,1.4,1,46,60,31,0,0,1,,,,,,,,,,1,1,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/17/2000,14.32,0,,0,0,27,32,22,387,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/18/2000,10.07,0,,0,0,34,45,22,412,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/19/2000,14.09,0.09,,0,0,44,49,38,0,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/20/2000,17,0.11,,0,0,46,49,42,0,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/21/2000,7.83,0.03,,0,0,45,49,40,61,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/22/2000,3.36,0,,0,0,47,54,39,120,0,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/23/2000,5.59,0,,0,0,47,59,34,634,0,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/24/2000,7.61,0,,0,0,54,71,37,693,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/25/2000,14.32,0,,0,0,58,69,47,693,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/26/2000,10.96,0,,0,0,48,57,38,747,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/27/2000,11.63,0.22,,0,0,45,53,36,172,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/28/2000,8.5,0,,0,0,42,51,33,682,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/29/2000,13.65,0,,0,0,43,48,38,344,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/30/2000,7.16,0,,0,0,38,45,31,639,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",3/31/2000,6.71,0,,0,0,41,53,29,760,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/1/2000,6.93,0,,0,0,47,65,29,717,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/2/2000,7.38,0.35,,0,0,54,59,49,0,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/3/2000,5.82,0.51,,0,0,56,63,49,0,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/4/2000,15.21,0.22,,0.3,0,42,52,32,272,0,1,,,,,,,,,,1,,,1,,1,1,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/5/2000,12.3,0.03,,0.3,0,41,50,31,576,0,1,,,,,,,,,,1,,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/6/2000,15.66,0,,0,0,51,58,44,757,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/7/2000,8.5,1.28,,0,0,43,50,36,224,0,1,,1,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/8/2000,15.43,0.44,,0,0,41,51,31,0,0,1,,,,,,,,,,1,1,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/9/2000,8.95,0.04,,0.4,0,37,45,28,144,0,1,,,,,,,,,,1,,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/10/2000,6.93,0,,0,0,35,42,28,673,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/11/2000,9.62,0.03,,0,0,39,44,33,0,0,,,,,,,,,,,,1,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/12/2000,7.61,0,,0,0,38,45,30,378,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/13/2000,8.5,0,,0,0,42,54,29,694,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/14/2000,9.62,0,,0,0,56,72,39,795,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/15/2000,6.26,0,,0,0,66,75,56,706,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/16/2000,8.05,0,,0,0,52,59,44,715,0,1,,,,,,,1,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/17/2000,12.08,0.03,,0,0,46,50,41,0,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/18/2000,6.71,0.01,,0,0,44,46,41,0,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/19/2000,5.37,0.02,,0,0,50,58,42,0,0,1,,,,,,,1,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/20/2000,11.41,0.66,,0,0,60,70,49,182,0,1,,1,,,,,,,1,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/21/2000,8.05,0.03,,0,0,50,57,43,329,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/22/2000,8.72,0.07,,0,0,43,46,39,0,0,1,,,,,,,,,,1,1,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/23/2000,4.92,0,,0,0,47,58,35,555,0,1,1,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/24/2000,7.38,0,,0,0,49,59,38,778,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/25/2000,13.2,0,,0,0,47,55,39,808,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/26/2000,8.95,0,,0,0,46,53,38,828,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/27/2000,6.26,0,,0,0,42,53,30,696,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/28/2000,8.72,0,,0,0,48,59,37,822,0,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/29/2000,6.49,0,,0,0,55,66,43,775,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",4/30/2000,5.14,0,,0,0,51,61,40,827,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/1/2000,11.41,1.01,,0,0,58,70,46,,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/2/2000,5.14,0,,0,0,51,58,44,,0,1,1,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/3/2000,5.82,0,,0,0,53,66,40,,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/4/2000,10.07,0.06,,0,0,64,78,50,542,0,,,1,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/5/2000,9.17,0,,0,0,71,80,62,741,0,1,,,,,,,1,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/6/2000,9.17,0,,0,0,74,84,63,803,0,1,,,,,,,1,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/7/2000,9.84,0,,0,0,76,85,66,698,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/8/2000,12.53,0.09,,0,0,75,84,65,678,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/9/2000,12.97,0.07,,0,0,72,83,61,712,0,,,1,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/10/2000,11.63,0.28,,0,0,56,62,49,523,0,1,,1,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/11/2000,9.17,0.02,,0,0,58,68,47,554,0,,,1,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/12/2000,14.32,0.09,,0,0,77,86,67,507,0,1,,1,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/13/2000,13.65,0.05,,0,0,65,76,53,546,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/14/2000,11.86,0,,0,0,53,60,46,804,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/15/2000,6.49,0,,0,0,51,63,39,840,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/16/2000,7.61,0.03,,0,0,53,67,39,632,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/17/2000,10.74,0,,0,0,65,78,52,647,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/18/2000,14.09,1.15,,0,0,67,78,55,353,0,1,,1,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/19/2000,11.41,0.58,,0,0,53,59,47,0,0,1,,1,,,,,,,,1,1,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/20/2000,5.59,0.01,,0,0,48,52,43,0,0,1,,,,,,,,,,1,1,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/21/2000,4.03,0,,0,0,54,64,43,673,0,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/22/2000,5.14,0,,0,0,61,70,52,574,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/23/2000,10.29,0.06,,0,0,64,68,59,390,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/24/2000,10.74,0.01,,0,0,68,78,58,823,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/25/2000,12.08,0,,0,0,61,71,50,888,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",5/26/2000,6.71,0,,0,0,58,71,44,779,0,,,,,,,,,,,,,,,,,,,,,
